Timestamp,Action,Symbol,Price,Lot_Size,Magic_Number,Result
2026-06-03T17:04:08.219029,BUY,EURUSD,1.16201,0.1,777777,FAILED: 10040
2026-06-03T17:04:08.327029,SELL,EURUSD,1.16199,0.1,777777,FAILED: 10040
2026-06-03T17:04:08.469028,BUY,EURUSD,1.16201,0.1,777777,FAILED: 10040
2026-06-03T17:04:08.578028,SELL,EURUSD,1.16199,0.1,777777,FAILED: 10040
2026-06-03T17:04:08.697028,BUY,EURUSD,1.162,0.1,777777,FAILED: 10040
2026-06-03T17:04:08.807027,SELL,EURUSD,1.16199,0.1,777777,FAILED: 10040
2026-06-03T17:04:08.997027,BUY,EURUSD,1.16201,0.1,777777,FAILED: 10040
2026-06-03T17:04:09.111027,SELL,EURUSD,1.16199,0.1,777777,FAILED: 10040
2026-06-03T17:04:09.226026,BUY,EURUSD,1.16201,0.1,777777,FAILED: 10040
2026-06-03T17:04:09.334026,SELL,EURUSD,1.16199,0.1,777777,FAILED: 10040
2026-06-03T17:04:09.442026,BUY,EURUSD,1.16201,0.1,777777,FAILED: 10040
2026-06-03T17:04:09.684025,SELL,EURUSD,1.16199,0.1,777777,FAILED: 10040
2026-06-03T17:04:09.791025,BUY,EURUSD,1.16201,0.1,777777,FAILED: 10040
2026-06-03T17:04:09.901024,SELL,EURUSD,1.16199,0.1,777777,FAILED: 10040
2026-06-03T17:04:10.053024,BUY,EURUSD,1.162,0.1,777777,FAILED: 10040
2026-06-03T17:04:10.162024,SELL,EURUSD,1.16199,0.1,777777,FAILED: 10040
2026-06-03T17:04:10.272023,BUY,EURUSD,1.16201,0.1,777777,FAILED: 10040
2026-06-03T17:04:10.381023,SELL,EURUSD,1.16199,0.1,777777,FAILED: 10040
2026-06-03T17:04:10.488023,BUY,EURUSD,1.16201,0.1,777777,FAILED: 10040
2026-06-03T17:04:10.594022,SELL,EURUSD,1.16199,0.1,777777,FAILED: 10040
2026-06-03T17:04:10.702022,BUY,EURUSD,1.16201,0.1,777777,FAILED: 10040
2026-06-03T17:04:10.808022,SELL,EURUSD,1.16199,0.1,777777,FAILED: 10040
2026-06-03T17:04:10.918022,BUY,EURUSD,1.16201,0.1,777777,FAILED: 10040
2026-06-03T17:04:11.025021,SELL,EURUSD,1.16199,0.1,777777,FAILED: 10040
2026-06-03T17:04:11.136021,BUY,EURUSD,1.16201,0.1,777777,FAILED: 10040
2026-06-03T17:04:11.254021,SELL,EURUSD,1.16198,0.1,777777,FAILED: 10040
2026-06-03T17:04:11.367020,BUY,EURUSD,1.162,0.1,777777,FAILED: 10040
2026-06-03T17:04:11.488020,SELL,EURUSD,1.16198,0.1,777777,FAILED: 10040
2026-06-03T17:04:11.614020,BUY,EURUSD,1.162,0.1,777777,FAILED: 10040
2026-06-03T17:04:11.757019,SELL,EURUSD,1.16198,0.1,777777,FAILED: 10040
2026-06-03T17:04:11.903019,BUY,EURUSD,1.162,0.1,777777,FAILED: 10040
2026-06-03T17:04:12.010019,SELL,EURUSD,1.16198,0.1,777777,FAILED: 10040
2026-06-03T17:04:12.117018,BUY,EURUSD,1.162,0.1,777777,FAILED: 10040
2026-06-03T17:04:12.226018,SELL,EURUSD,1.16198,0.1,777777,FAILED: 10040
2026-06-03T17:04:12.334018,BUY,EURUSD,1.162,0.1,777777,FAILED: 10040
2026-06-03T17:04:12.451017,SELL,EURUSD,1.16198,0.1,777777,FAILED: 10040
2026-06-03T17:04:12.906016,BUY,EURUSD,1.162,0.1,777777,FAILED: 10040
2026-06-03T17:04:13.079016,SELL,EURUSD,1.16198,0.1,777777,FAILED: 10040
