Price,^GSPC,^DJI,^IXIC,^RUT,^FTSE,^GDAXI,^FCHI,^N225,^HSI,000001.SS,^BSESN,^KS11,^BVSP,^GSPTSE,^AXJO,^STOXX50E,EURUSD=X,GBPUSD=X,USDJPY=X,AUDUSD=X,USDCAD=X,USDCHF=X,NZDUSD=X,^TNX,^IRX,^TYX,ES=F,NQ=F,ZN=F,ZB=F,CL=F,GC=F,SI=F,HYG,LQD,^VIX,JPM
Ticker,^GSPC,^DJI,^IXIC,^RUT,^FTSE,^GDAXI,^FCHI,^N225,^HSI,000001.SS,^BSESN,^KS11,^BVSP,^GSPTSE,^AXJO,^STOXX50E,EURUSD=X,GBPUSD=X,USDJPY=X,AUDUSD=X,USDCAD=X,USDCHF=X,NZDUSD=X,^TNX,^IRX,^TYX,ES=F,NQ=F,ZN=F,ZB=F,CL=F,GC=F,SI=F,HYG,LQD,^VIX,JPM
2007-05-25,0.00543787,0.00490942,0.00756416,0.00741358,0.00077650,0.00541835,0.00151666,-0.01226683,-0.01347131,0.00687636,0.00842822,-0.00123356,0.02128344,0.00556302,-0.00419734,0.00242700,0.00149188,-0.00023816,0.00330704,0.00131047,-0.00480728,-0.00048890,0.00290422,0.00082325,-0.00526042,0.00000000,0.00379695,0.00582783,-0.00029295,-0.00028600,0.01576778,0.00321073,0.00643739,0.00141425,-0.00065947,-0.05398829,0.00096824
2007-05-28,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00230522,0.00606689,0.00044334,0.02185042,0.00413689,0.00808489,0.00967830,0.00353057,-0.00022391,0.00000000,0.00014791,-0.00087302,-0.00049294,-0.00040974,0.00074110,0.00125446,-0.00043620,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
2007-05-29,0.00156897,0.00104035,0.00579818,0.00911577,0.00544885,0.00539166,-0.00248685,0.00481965,-0.00293517,0.01459599,0.00763305,0.00234359,-0.00783955,-0.00791832,0.01053398,0.00252621,-0.00045720,-0.00160514,-0.00090428,-0.00081896,-0.00594410,-0.00280425,-0.00029060,0.00431078,-0.01167118,0.00119737,0.00345423,0.00710623,-0.00146606,-0.00143123,-0.03194655,0.00304832,0.01709309,-0.00396760,-0.00198027,0.01414237,0.00348000
2007-05-30,0.00795191,0.00823003,0.00795025,0.00692491,-0.00066622,-0.00206739,-0.00235404,-0.00478156,-0.00862692,-0.06722501,-0.00669653,0.00055342,0.01563716,0.00848659,-0.01181451,-0.00136184,-0.00103491,-0.00181990,0.00000000,0.00533510,0.00037249,0.00065286,0.00604889,-0.00081971,0.00425985,-0.00079803,0.00752498,0.00835732,0.00000000,0.00057274,0.00536957,-0.00610596,-0.00022804,0.00226960,0.00075442,-0.05312325,0.00462104
2007-05-31,0.00025484,-0.00039914,0.00459099,0.00453115,0.00293414,0.01509100,0.01018440,0.01621343,0.01664957,0.01385976,0.00919200,0.02270862,-0.00496203,-0.00176985,0.01116531,0.00978248,0.00178814,0.00172091,0.00131506,0.00660566,-0.00354481,-0.00057122,0.00910564,0.00245702,-0.02474570,0.00019957,-0.00065210,0.00505870,-0.00102752,0.00000000,0.00815691,0.01202362,0.01912426,-0.00160752,-0.00084875,0.01700198,-0.00442852
2007-06-01,0.00373006,0.00296535,0.00360258,0.00737379,0.00830195,0.01320803,0.01045465,0.00463970,-0.00153267,-0.02685896,0.00180593,0.00897242,0.02185704,0.00444352,0.00316281,0.00977343,-0.00104903,0.00059406,0.00311627,0.00406754,-0.00957745,0.00869605,0.00851952,0.01340666,0.01406190,0.01012609,0.00423109,0.00000000,-0.00397322,-0.00574219,0.01657796,0.01531333,0.02008184,-0.00013271,-0.00383896,-0.02090672,0.00134975
2007-06-04,0.00184690,0.00060049,0.00167047,0.00191979,-0.00188896,-0.00138557,-0.00688794,0.00080925,0.00613180,-0.08617894,-0.00515924,0.01236323,-0.00337502,0.00193163,0.00933498,-0.00421345,0.00371686,0.00534318,-0.00336269,0.00308243,-0.00160525,-0.01065703,0.00454864,-0.00546283,-0.00646558,-0.00793339,0.00048705,0.00232618,0.00147341,0.00373617,0.01721418,-0.00074521,0.00036541,0.00085640,0.00161692,0.03913044,-0.00637809
2007-06-05,-0.00536142,-0.00592998,-0.00270008,-0.00803135,-0.00470792,-0.00716633,-0.00774646,0.00446278,0.00541526,0.02600487,0.00270336,0.00264383,-0.00152249,-0.00035350,-0.00346296,-0.00544249,0.00207993,0.00089660,-0.00312684,0.00325939,0.00367878,-0.00385131,0.00419423,0.00949021,0.01395622,0.00892068,-0.00422902,-0.00038732,-0.00265369,-0.00460035,-0.00910336,-0.00164148,0.00517438,-0.00142716,-0.00323731,0.02526138,-0.00681017
2007-06-06,-0.00890326,-0.00959243,-0.00925291,-0.00833405,-0.01673858,-0.02425445,-0.01670021,-0.00071373,-0.00113013,0.00244341,-0.01938727,0.00000000,-0.02115827,-0.01425075,-0.00530375,-0.01695821,-0.00201243,-0.00059779,-0.00272329,0.00486702,-0.00367878,-0.00106797,0.00330773,-0.00120652,-0.00749064,0.00334947,-0.01131067,-0.01142870,0.00103283,-0.00057654,0.00532035,-0.00044811,-0.00678318,-0.00123864,0.00085821,0.08707250,-0.01296940
2007-06-07,-0.01772596,-0.01488405,-0.01786126,-0.01907016,-0.00270193,-0.01452139,-0.01472511,0.00068992,-0.00088658,0.02986639,-0.00490471,0.00620854,0.00000000,-0.01719666,-0.00411126,-0.01266407,-0.00481887,-0.00714629,-0.00107491,0.00025236,0.00490200,0.00590021,-0.00158015,0.02562464,0.00107346,0.02313702,-0.01813241,-0.01659461,-0.00680677,-0.01247659,0.01459882,-0.01384107,-0.01690133,-0.00468138,-0.01072919,0.13739076,-0.01474432
2007-06-08,0.01130624,0.01181374,0.01257520,0.01203171,0.00000000,-0.00369646,-0.00122309,-0.01530993,-0.01408954,0.00572329,-0.00866343,-0.01480351,0.00538424,0.00687940,-0.01266080,-0.00114874,-0.00507631,-0.00381031,0.00684286,0.00235867,-0.00159997,0.00878555,0.01698429,0.00371931,-0.00645852,0.00326197,0.01251163,0.01397886,-0.00044553,-0.00146092,-0.03295914,-0.02236609,-0.03299087,-0.00268410,0.00048098,-0.13941026,0.01177322
2007-06-11,0.00096125,0.00004248,-0.00054031,-0.00255321,0.00954674,0.01511477,0.00960812,0.00311065,0.00517160,0.02087491,0.00139272,-0.00622561,0.00850567,0.00248268,0.00000000,0.00889006,-0.00030726,-0.00055159,0.00041075,-0.00042158,-0.00188552,0.00274999,-0.01751038,0.00370552,-0.00867684,0.00382409,0.00165645,-0.00183510,-0.00029713,-0.00146306,0.01851195,0.01354073,0.01814357,-0.00211541,-0.00308534,-0.00879871,0.00039650
2007-06-12,-0.01073918,-0.00972690,-0.00873892,-0.01385003,-0.00718218,-0.00361931,-0.00708379,-0.00413370,0.00101331,0.01895439,0.00336992,0.00772972,-0.01874326,-0.00787460,0.00134702,-0.00738309,-0.00374592,0.00274113,-0.00115046,-0.00336639,0.00658389,0.00298391,-0.00352548,0.02137781,0.00000000,0.02189596,-0.01165320,-0.00644951,-0.00611076,-0.01089367,-0.00944270,-0.00890394,-0.01384475,-0.00511197,-0.00542140,0.12508316,-0.02164841
2007-06-13,0.01507010,0.01399263,0.01268120,0.01308157,0.00597858,0.00032554,0.00610356,-0.00158567,-0.00279706,0.02530039,-0.00909369,-0.00457145,0.02284647,0.00980295,-0.00956466,0.00424834,0.00030608,-0.00100661,0.00778084,-0.00008400,0.00037498,0.00177006,0.00029950,-0.00918849,-0.01647490,-0.01504918,0.01495790,0.00998563,0.00194160,0.00590320,0.01382901,-0.00046269,-0.00214707,0.00173988,0.00435871,-0.12372450,0.01886855
2007-06-14,0.00480474,0.00528043,0.00660009,0.00548618,0.01367216,0.02168807,0.01885629,0.00615712,0.01392242,-0.01477893,0.01423013,0.02703560,0.01347636,0.01022926,0.01294033,0.01876110,0.00043930,-0.00157703,0.00313616,-0.00494454,0.00046842,0.00168667,0.00239974,0.00326394,-0.00110795,0.00302797,0.00608504,0.00729455,-0.00089566,-0.00147254,0.02076095,0.00523153,0.00825628,0.00077118,-0.00028954,-0.07687952,0.00059636
2007-06-15,0.00650556,0.00630674,0.01044764,0.01313725,0.01232988,0.02285770,0.00955362,0.00721520,0.00715264,0.00428202,-0.00289143,0.00173938,0.01489421,0.00962362,0.00519310,0.01459957,0.00472499,0.00359142,0.00361267,0.00536460,0.00000000,-0.00337619,0.00594903,-0.00885643,-0.01789766,-0.00549500,0.00610689,0.01067869,0.00268457,0.00353045,0.00516033,0.00444075,0.00750885,-0.00019263,0.00395659,0.02175570,0.00475810
2007-06-18,-0.00121411,-0.00194478,-0.00004183,-0.00225436,-0.00430190,0.00068215,-0.00297396,0.00985746,0.02656685,0.02873483,-0.00584718,0.01934603,0.00386274,0.00275484,0.00784990,-0.00457644,0.00275986,0.00354467,0.00226646,0.00303032,0.00299283,-0.00024154,-0.00105678,-0.00562395,-0.00452489,-0.00209228,0.00773360,0.01050990,0.00178571,0.00205369,0.01590224,0.00198426,-0.00173944,0.00057887,-0.00009680,-0.03801624,-0.00257459
2007-06-19,0.00172928,0.00164703,0.00006088,0.00243122,-0.00798282,-0.00032360,-0.00254630,0.00077602,0.00000000,0.00379586,0.01517953,0.00053668,-0.00157259,-0.00402182,0.00449851,-0.00066244,0.00060386,0.00190625,-0.00210443,0.00354702,-0.00806380,-0.00112821,0.00491623,-0.01095049,0.02353050,-0.01033500,0.00193861,-0.00025416,0.00400624,0.00526163,0.00014476,0.00744405,0.00693976,0.00125212,0.00643323,-0.04340230,0.00829449
